Date,Open,High,Low,Close,Volume
2010-01-04,2403.01,2450.63,2403.01,2444.58,33102906
2010-01-05,2460.63,2480.91,2451.63,2462.3,52916695
2010-01-06,2465.92,2472.83,2447.68,2472.83,17679027
2010-01-07,2434.32,2448.52,2427.82,2436.4,22040832
2010-01-08,2464.47,2468.49,2431.9,2440.42,27650406
2010-01-11,2465.27,2475.76,2458.46,2473.5,30269891
2010-01-12,2463.97,2466.29,2436.02,2448.71,28020624
2010-01-13,2432.02,2462.6,2427.9,2458.05,28193862
2010-01-14,2476.23,2476.23,2442.53,2451.98,25985999
2010-01-15,2451.05,2468.73,2435.23,2442.38,64670446
2010-01-18,2441.74,2465.3,2440.2,2465.3,84046556
2010-01-19,2461.86,2489.42,2449.28,2489.42,26123451
2010-01-20,2483.26,2501.61,2479.94,2489.45,29921152
2010-01-21,2484.11,2489.38,2455.55,2470.51,34328241
2010-01-22,2436.77,2441.4,2399.73,2407.78,76020551
2010-01-25,2409.93,2425.93,2404.3,2417.87,24350366
2010-01-26,2388.1,2393.22,2367.04,2388.64,23936816
2010-01-27,2385.21,2396.66,2371.9,2373.41,28139850
2010-01-28,2398.41,2405.95,2362.1,2362.93,31015672
2010-01-29,2360.59,2382.64,2348.62,2382.64,21124648
2010-02-01,2364.11,2380.83,2356.89,2363.18,11767826
2010-02-02,2385.43,2386.88,2363.64,2374.35,25010246
2010-02-03,2397.45,2402.24,2375.45,2383.95,19636165
2010-02-04,2372.43,2380.29,2285.94,2285.94,35412582
2010-02-05,2257.82,2257.82,2195.65,2195.65,58831009
2010-02-08,2220.85,2233.74,2165.2,2189.35,33921973
2010-02-09,2216.13,2231.24,2205.27,2205.27,29721408
2010-02-10,2218.76,2245.89,2212.83,2215.15,70208803
2010-02-11,2238.28,2238.34,2172.88,2173.25,185834542
2010-02-12,2203.96,2225.14,2191.47,2216.71,68949644
2010-02-15,2230.44,2259.19,2218.2,2259.19,22185022
2010-02-16,2277.15,2279.99,2226.97,2239.53,57075715
2010-02-17,2288.94,2290.06,2270.81,2281.92,61430210
2010-02-18,2271.4,2273.86,2244.88,2250.77,40244627
2010-02-19,2226.99,2271,2223.97,2249.48,30131692
2010-02-22,2282.03,2284.74,2254.16,2267.3,15696872
2010-02-23,2273.75,2277.98,2235.98,2240.28,54593102
2010-02-24,2233.18,2243.09,2218.63,2233.08,17974216
2010-02-25,2235.96,2248.14,2185.14,2198.36,56916648
2010-02-26,2216.08,2265.01,2205.81,2265.01,72902975
2010-03-01,2280.01,2288.85,2261.52,2288.85,20585645
2010-03-02,2289.88,2354.14,2273.82,2347.58,44226683
2010-03-03,2356.08,2365.32,2334.53,2357.54,67513175
2010-03-04,2346.02,2376.85,2336.73,2361.62,135456583
2010-03-05,2366.51,2395.44,2358.33,2389.37,65966276
2010-03-08,2402.38,2406.55,2381.49,2406.55,25510338
2010-03-09,2400.17,2400.48,2374.53,2393.88,20566134
2010-03-10,2391.37,2425.09,2383.5,2412.18,97040034
2010-03-11,2408.98,2419.09,2399.42,2403.05,51216863
2010-03-12,2415.27,2445.13,2408.82,2415.82,102262056
2010-03-15,2416.21,2416.97,2385.36,2392.78,67385033
