Date,Open,High,Low,Close,Volume
2010-01-04,1115.1,1133.87,1115.1,1132.99,2217444444
2010-01-05,1132.99,1136.63,1129.66,1136.52,1383900000
2010-01-06,1136.52,1139.19,1133.95,1137.14,2762588889
2010-01-07,1137.14,1142.46,1131.32,1141.69,2928155556
2010-01-08,1141.69,1145.39,1136.22,1144.98,2438661111
2010-01-11,1144.98,1149.74,1142.02,1146.98,2364322222
2010-01-12,1146.98,1146.98,1131.77,1136.22,2620088889
2010-01-13,1136.22,1148.4,1133.18,1145.68,2316866667
2010-01-14,1145.68,1150.41,1143.8,1148.46,2175111111
2010-01-15,1148.46,1148.46,1131.39,1136.03,2643738889
2010-01-19,1136.03,1150.45,1135.77,1150.23,2624905556
2010-01-20,1150.23,1150.23,1129.25,1138.04,2672533333
2010-01-21,1138.04,1141.58,1114.84,1116.48,3819050000
2010-01-22,1116.48,1116.48,1090.18,1091.76,3449250000
2010-01-25,1091.76,1102.97,1091.76,1096.78,2489661111
2010-01-26,1096.78,1103.69,1089.86,1092.17,2628838889
2010-01-27,1092.17,1099.51,1083.11,1097.5,2955066667
2010-01-28,1097.5,1100.22,1078.46,1084.53,3029111111
2010-01-29,1084.53,1096.45,1071.59,1073.87,3007138889
2010-02-01,1073.89,1089.38,1073.89,1089.18,2265338889
2010-02-02,1090.05,1104.73,1087.96,1103.32,2638633333
2010-02-03,1100.67,1102.72,1093.97,1097.28,2380805556
2010-02-04,1097.25,1097.25,1062.78,1063.11,3255383333
2010-02-05,1064.12,1067.13,1044.5,1066.19,3577166667
2010-02-08,1065.51,1071.2,1056.51,1056.74,2272122222
2010-02-09,1060.06,1079.28,1060.06,1070.52,2841255556
2010-02-10,1069.68,1073.67,1059.34,1068.13,2361916667
2010-02-11,1067.1,1080.04,1060.59,1078.47,2444927778
2010-02-12,1075.95,1077.81,1062.97,1075.51,2311488889
2010-02-16,1079.13,1095.67,1079.13,1094.87,2267094444
2010-02-17,1096.14,1101.03,1094.72,1099.51,2366238889
2010-02-18,1099.03,1108.24,1097.48,1106.75,2154788889
2010-02-19,1105.49,1112.42,1100.8,1109.17,2191266667
2010-02-22,1110,1112.29,1105.38,1108.01,2119133333
2010-02-23,1107.49,1108.58,1092.18,1094.6,2511694444
2010-02-24,1095.89,1106.42,1095.5,1105.24,2315755556
2010-02-25,1101.24,1103.5,1086.02,1102.94,2511738889
2010-02-26,1103.1,1107.24,1097.56,1104.49,2191772222
2010-03-01,1105.36,1116.11,1105.36,1115.71,2137577778
2010-03-02,1117.01,1123.46,1116.51,1118.31,2297044444
2010-03-03,1119.36,1125.64,1116.58,1118.79,2195177778
