Date,Open,High,Low,Close,Volume
2010-04-12,6283.81,6285.03,6223.78,6250.69,113006713
2010-04-13,6236.28,6251.46,6199.71,6230.83,98670033
2010-04-14,6269.48,6305.15,6249.92,6278.4,119609342
2010-04-15,6286.63,6310.76,6249.74,6291.45,108953700
2010-04-16,6264.65,6305.4,6162.84,6180.9,195883465
2010-04-19,6158.6,6190.86,6140.38,6162.44,133583524
2010-04-20,6193.5,6267.54,6172.57,6264.23,133489171
2010-04-21,6280.54,6281.38,6229.18,6230.38,149364760
2010-04-22,6229.23,6286.36,6141.07,6168.72,174051976
2010-04-23,6192.62,6287.54,6170.39,6259.53,124505954
2010-04-26,6317.13,6341.52,6299.58,6332.1,115432417
2010-04-27,6332.4,6333,6159.51,6159.51,159970783
2010-04-28,6141.01,6159.02,6024.01,6084.34,241133322
2010-04-29,6110.56,6159.41,6073.37,6144.91,194408785
2010-04-30,6155.57,6205.72,6085.62,6135.7,196569393
2010-05-03,6122.76,6190.07,6089.93,6166.92,112972168
2010-05-04,6176.24,6197,5995.43,6006.86,229250544
2010-05-05,6021.06,6031.09,5929.35,5958.45,235306354
2010-05-06,5919.94,6009.48,5884.39,5908.26,283585218
2010-05-07,5790.67,5905.35,5655.18,5715.09,321885418
2010-05-10,5814.41,6017.91,5805.98,6017.91,280850433
2010-05-11,5922.03,6042.11,5918.14,6037.71,169545544
2010-05-12,6026.06,6217.24,6006.31,6183.49,186580671
2010-05-13,6240.67,6276.8,6196.89,6251.97,120538742
2010-05-14,6226.49,6233.71,6014.78,6056.71,173391067
2010-05-17,6029.91,6151.54,6026.32,6066.92,144987960
2010-05-18,6144.08,6181.26,6113.87,6155.93,122109604
2010-05-19,6091.85,6124.81,5972.17,5988.67,185439332
2010-05-20,6023.11,6043.84,5780.73,5867.88,192604581
2010-05-21,5835.22,5872.65,5689.18,5829.25,341947108
2010-05-24,5858.45,5872.07,5733.57,5805.68,91354038
2010-05-25,5659.59,5690.25,5607.68,5670.04,193420800
2010-05-26,5735.46,5828.37,5721.02,5758.02,172251031
2010-05-27,5735.46,5952.21,5721.02,5937.14,180622995
2010-05-28,5962.84,5980.78,5927.31,5946.18,104017994
2010-05-31,5933.58,5993.94,5931.2,5964.33,45852646
2010-06-01,5943.94,6012.04,5833.61,5981.27,127463812
2010-06-02,5923.48,5992.21,5869.35,5981.2,99316184
2010-06-03,6075.68,6101.83,6046.38,6054.63,85109549
2010-06-04,6081.47,6114.58,5912.9,5938.88,131208764
2010-06-07,5876.48,5954.47,5851.93,5904.95,117564980
2010-06-08,5916.86,5922.95,5798.76,5868.55,163228686
2010-06-09,5895.94,5993.93,5832.97,5984.75,115040452
2010-06-10,5959.11,6089.43,5925.06,6056.59,131094733
2010-06-11,6082.9,6084.7,5983.27,6047.83,132370278
2010-06-14,6113.46,6137.25,6093.38,6125,96620889
2010-06-15,6089.32,6194.25,6089.32,6175.05,118277028
2010-06-16,6203.01,6207.3,6143.18,6190.91,120767096
2010-06-17,6181.77,6241.36,6164.99,6223.54,112716279
2010-06-18,6223.88,6256.55,6189.71,6216.98,260008979
2010-06-21,6320.41,6330.81,6263.41,6292.97,92615826
2010-06-22,6254.86,6295.58,6216.39,6269.04,86801710
2010-06-23,6219.2,6271.85,6178.84,6204.52,96947953
2010-06-24,6232.38,6235.48,6097.01,6115.48,113903578
2010-06-25,6116.23,6149.87,6039.56,6070.6,101546538
2010-06-28,6097.37,6168.99,6059.83,6157.22,81583540
2010-06-29,6061.68,6068.82,5935.35,5952.03,122001128
2010-06-30,5972.26,6001.03,5938.2,5965.52,110273901
2010-07-01,5885.61,5953.84,5827.25,5857.43,133033350
2010-07-02,5885.22,5941.22,5833.12,5834.15,103990635
2010-07-05,5853.75,5861.05,5809.37,5816.2,58955359
2010-07-06,5847.47,5995.64,5842.07,5940.98,104933425
2010-07-07,5896.18,5997.82,5848.66,5992.86,117657711
2010-07-08,6025.86,6057.52,6006.68,6035.66,108891953
2010-07-09,6070.47,6078.56,6039.31,6065.24,82687945
2010-07-12,6079.95,6119.7,6061.84,6077.19,68496731
2010-07-13,6078.34,6200.82,6076.14,6191.13,117515902
2010-07-14,6215.23,6226.54,6161.13,6209.76,97857762
2010-07-15,6187.78,6248.07,6127.36,6149.36,114225246
2010-07-16,6165.51,6205.44,6018.64,6040.27,143885163
2010-07-19,6034.87,6083.12,5993.55,6009.11,80327502
2010-07-20,6039.16,6052.51,5906.04,5967.49,92837266
2010-07-21,6011.72,6060.49,5976.92,5990.38,79687609
2010-07-22,5971.09,6148.13,5961.86,6142.15,100967921
2010-07-23,6125.26,6190.24,6112.5,6166.34,85493012
2010-07-26,6201.02,6201.14,6131.91,6194.21,73220117
2010-07-27,6211.1,6253.64,6189.96,6207.31,134573900
2010-07-28,6238.71,6249.16,6147.57,6178.94,102638182
2010-07-29,6202.78,6243.42,6124.45,6134.7,111252374
2010-07-30,6123.41,6184.54,6059.19,6147.97,101279585
2010-08-02,6187.64,6304.26,6182.68,6292.13,104820953
2010-08-03,6279.95,6310.32,6265.61,6307.91,99281869
2010-08-04,6287.65,6361.67,6264.28,6331.33,99509514
2010-08-05,6332.82,6382.56,6321.38,6333.58,117072751
2010-08-06,6361.09,6386.97,6244.69,6259.63,111202894
2010-08-09,6326.62,6356.41,6318.12,6351.6,70334832
2010-08-10,6315.87,6333.25,6247.62,6286.25,83815531
2010-08-11,6234.6,6236.57,6143.58,6154.07,107362019
2010-08-12,6141.9,6173.42,6097.72,6135.17,113104102
2010-08-13,6163.11,6168.71,6068.82,6110.41,98258925
2010-08-16,6132.78,6156.57,6062.29,6110.57,74503333
2010-08-17,6125.32,6215.35,6123.79,6206.4,87901074
2010-08-18,6183.12,6216.55,6155.51,6186.31,76996223
2010-08-19,6216.33,6229.46,6070.83,6075.13,105084231
2010-08-20,6079.91,6097.35,5999.63,6005.16,107089470
