Date,Open,High,Low,Close
2010-09-02,1.2802,1.2848,1.2777,1.2825
2010-09-03,1.2825,1.2896,1.2808,1.2895
2010-09-06,1.2893,1.2917,1.2866,1.2875
2010-09-07,1.2875,1.2875,1.2677,1.2683
2010-09-08,1.2682,1.2762,1.2659,1.2723
2010-09-09,1.2723,1.2765,1.2664,1.2697
2010-09-10,1.2698,1.2745,1.2644,1.2675
2010-09-13,1.2707,1.2891,1.2703,1.2877
2010-09-14,1.2875,1.3032,1.2828,1.2987
2010-09-15,1.2987,1.3035,1.2955,1.3012
2010-09-16,1.3012,1.3114,1.2976,1.3073
2010-09-17,1.3073,1.3156,1.3019,1.3054
2010-09-20,1.3051,1.3119,1.3029,1.3062
2010-09-21,1.3062,1.3268,1.3057,1.325
2010-09-22,1.325,1.3436,1.3247,1.3399
2010-09-23,1.3399,1.3412,1.3307,1.3313
2010-09-24,1.3313,1.3494,1.3286,1.3489
2010-09-27,1.3483,1.3503,1.3426,1.3441
2010-09-28,1.344,1.3594,1.3381,1.3585
2010-09-29,1.3584,1.3646,1.3566,1.3621
2010-09-30,1.3622,1.3681,1.3561,1.3628
2010-10-01,1.3628,1.3791,1.3619,1.379
2010-10-04,1.3788,1.3788,1.3666,1.3674
2010-10-05,1.3674,1.3858,1.3637,1.3834
2010-10-06,1.3833,1.3946,1.3799,1.3925
2010-10-07,1.3924,1.4028,1.3857,1.3913
2010-10-08,1.3913,1.398,1.3843,1.3944
2010-10-11,1.4003,1.4006,1.3866,1.3881
2010-10-12,1.3881,1.3935,1.3775,1.3915
2010-10-13,1.3916,1.4001,1.3911,1.396
2010-10-14,1.396,1.4121,1.3955,1.4082
2010-10-15,1.4082,1.4156,1.3937,1.3975
2010-10-18,1.3973,1.3998,1.383,1.3948
2010-10-19,1.3947,1.4002,1.3713,1.3741
2010-10-20,1.3741,1.3991,1.3697,1.3957
2010-10-21,1.3958,1.4049,1.3871,1.3925
2010-10-22,1.3925,1.3971,1.386,1.3953
2010-10-25,1.3951,1.4079,1.3934,1.3954
2010-10-26,1.3954,1.3981,1.3825,1.3861
2010-10-27,1.386,1.3877,1.3734,1.3773
2010-10-28,1.3774,1.3945,1.3768,1.3928
2010-10-29,1.3928,1.395,1.3807,1.3946
2010-11-01,1.3971,1.401,1.3863,1.3897
2010-11-02,1.3895,1.4057,1.3881,1.4031
2010-11-03,1.403,1.418,1.3991,1.4123
2010-11-04,1.4124,1.4281,1.4102,1.4212
2010-11-05,1.4213,1.4248,1.4024,1.4031
2010-11-08,1.4053,1.4083,1.3887,1.3912
2010-11-09,1.3912,1.3972,1.3748,1.3763
2010-11-10,1.3766,1.3825,1.367,1.3778
2010-11-11,1.3778,1.382,1.3637,1.3661
2010-11-12,1.3662,1.3776,1.3574,1.369
2010-11-15,1.3682,1.3749,1.3563,1.3578
2010-11-16,1.3579,1.3654,1.3448,1.3483
2010-11-17,1.3483,1.3563,1.346,1.3529
2010-11-18,1.3529,1.3666,1.3529,1.3643
2010-11-19,1.3643,1.373,1.3608,1.3672
2010-11-22,1.3736,1.3785,1.3576,1.3623
2010-11-23,1.3623,1.3628,1.3362,1.3379
2010-11-24,1.3379,1.3419,1.3284,1.3336
2010-11-25,1.3336,1.3385,1.3286,1.3345
2010-11-26,1.3348,1.3352,1.3201,1.324
2010-11-29,1.3272,1.33,1.3064,1.3106
2010-11-30,1.3112,1.315,1.2969,1.2981
2010-12-01,1.2981,1.3181,1.2971,1.3125
2010-12-02,1.3125,1.3246,1.306,1.3215
2010-12-03,1.3215,1.3437,1.3193,1.3413
2010-12-06,1.3408,1.3422,1.3246,1.3308
2010-12-07,1.331,1.3399,1.3255,1.3265
2010-12-08,1.3265,1.3279,1.318,1.3263
2010-12-09,1.3263,1.3322,1.3165,1.3236
2010-12-10,1.3237,1.328,1.3179,1.3226
2010-12-13,1.3205,1.3432,1.3182,1.3386
2010-12-14,1.3386,1.3495,1.3363,1.3379
2010-12-15,1.3379,1.338,1.3208,1.322
2010-12-16,1.3222,1.3265,1.3181,1.3239
2010-12-17,1.324,1.3358,1.3133,1.3188
2010-12-20,1.3164,1.3181,1.3095,1.3119
2010-12-21,1.3119,1.32,1.3073,1.3099
2010-12-22,1.3099,1.318,1.3078,1.3102
2010-12-23,1.3103,1.315,1.3055,1.3109
2010-12-24,1.3109,1.3147,1.3095,1.3112
2010-12-27,1.3113,1.3169,1.3071,1.3162
2010-12-28,1.316,1.3273,1.3095,1.3109
2010-12-29,1.3107,1.3237,1.3083,1.3217
